               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 126,            0.022781,            0.011038,           0.0055068,             0.99769,             0.98555,             0.99297,             0.84381,            0.021078,           0.0077781,           0.0043823,            0.005166,            0.005166,            0.005166
                 127,            0.023625,            0.011101,           0.0057999,             0.99724,             0.98541,             0.99322,             0.84361,            0.020883,           0.0075952,           0.0043497,           0.0051273,           0.0051273,           0.0051273
                 128,            0.023824,            0.011631,           0.0053172,             0.99696,             0.98448,             0.99338,             0.84272,            0.020424,           0.0072781,           0.0042913,           0.0050887,           0.0050887,           0.0050887
                 129,            0.022982,            0.011101,           0.0053049,             0.99755,             0.98735,             0.99419,             0.85516,             0.02019,           0.0073204,           0.0043329,             0.00505,             0.00505,             0.00505
                 130,            0.022208,            0.010663,            0.005659,              0.9968,              0.9768,             0.99266,             0.85464,            0.019947,           0.0073877,           0.0043243,           0.0050113,           0.0050113,           0.0050113
                 131,            0.022847,            0.010669,           0.0052182,             0.99736,              0.9726,              0.9904,             0.84932,            0.020174,           0.0076822,           0.0043051,           0.0049727,           0.0049727,           0.0049727
                 132,            0.022739,            0.010556,           0.0053624,             0.99636,             0.97752,             0.99211,             0.84819,            0.019975,           0.0075106,           0.0043139,            0.004934,            0.004934,            0.004934
                 133,             0.02233,             0.01055,            0.005474,             0.99313,             0.98304,             0.99394,             0.84087,            0.021594,           0.0076065,            0.004285,           0.0048953,           0.0048953,           0.0048953
                 134,            0.022218,            0.010345,           0.0051399,              0.9961,             0.97915,              0.9924,             0.84959,              0.0209,           0.0075807,           0.0041975,           0.0048566,           0.0048566,           0.0048566
                 135,            0.023318,            0.010977,            0.005431,             0.99646,             0.97857,             0.99393,             0.85473,            0.020147,           0.0072724,           0.0042393,            0.004818,            0.004818,            0.004818
                 136,              0.0224,            0.010944,           0.0054044,             0.99554,             0.97162,             0.99197,             0.85198,            0.020581,           0.0073619,           0.0042179,           0.0047793,           0.0047793,           0.0047793
                 137,             0.02235,            0.010621,           0.0055947,             0.99146,             0.98082,             0.99347,             0.85269,            0.020003,           0.0073123,           0.0042999,           0.0047406,           0.0047406,           0.0047406
                 138,              0.0218,            0.010456,           0.0053782,             0.99116,             0.98937,             0.99423,             0.86151,            0.019861,           0.0070734,           0.0042543,            0.004702,            0.004702,            0.004702
                 139,            0.022595,            0.010828,           0.0055607,             0.99343,             0.98879,             0.99351,             0.85398,            0.020075,           0.0071244,           0.0042288,           0.0046633,           0.0046633,           0.0046633
                 140,            0.022172,            0.010195,           0.0051589,             0.98343,             0.99284,             0.99397,             0.85475,            0.020684,            0.007324,           0.0042685,           0.0046246,           0.0046246,           0.0046246
                 141,            0.022156,            0.010864,              0.0054,              0.9966,             0.98006,             0.99326,             0.85521,            0.020281,           0.0072672,           0.0042843,           0.0045859,           0.0045859,           0.0045859
                 142,             0.02167,            0.010684,           0.0054356,             0.99639,             0.98718,             0.99364,             0.85838,            0.020209,           0.0071491,           0.0043104,           0.0045473,           0.0045473,           0.0045473
                 143,            0.023027,            0.010997,           0.0055749,             0.99183,             0.98976,             0.99324,             0.84978,             0.02024,           0.0073575,           0.0042824,           0.0045086,           0.0045086,           0.0045086
                 144,            0.022118,            0.010781,           0.0052639,             0.99736,             0.97484,             0.98869,             0.85116,            0.020295,           0.0076564,           0.0042305,           0.0044699,           0.0044699,           0.0044699
                 145,             0.02181,             0.01046,           0.0052093,             0.99682,             0.97245,             0.99029,             0.85186,            0.020361,           0.0075255,           0.0042503,           0.0044313,           0.0044313,           0.0044313
                 146,            0.021303,             0.01044,           0.0050732,              0.9964,             0.97545,             0.98854,             0.84407,            0.020348,           0.0078059,           0.0042841,           0.0043926,           0.0043926,           0.0043926
